Well,Cq
A01,24.63
A02,21
A03,19.63
A04,4.6
A05,18.44
A06,24.26
A07,18.66
A08,32.58
A09,30.54
A10,6.25
A11,16.77
A12,18
B01,24.49
B02,21.12
B03,20
B04,4.81
B05,21.87
B06,15.31
B07,15.56
B08,14
B09,17.58
B10,14.96
B11,15.71
B12,15.51
C01,16.08
C02,21.03
C03,19.64
C04,4.19
C05,18.92
C06,24.11
C07,18.7
C08,34.18
C09,30.49
C10,6.18
C11,27.79
C12,23.62
D01,24.97
D02,21.23
D03,24.04
D04,4.33
D05,23.41
D06,22.42
D07,19.43
D08,35.37
D09,31.71
D10,3.86
D11,28.84
D12,23.65
E01,24.87
E02,21.2
E03,23.99
E04,4.24
E05,23.35
E06,22.39
E07,19.24
E08,35.74
E09,31.63
E10,3.85
E11,28.87
E12,23.74
F01,24.96
F02,21.13
F03,23.95
F04,4.25
F05,23.35
F06,22.48
F07,19.48
F08,35.29
F09,31.43
F10,11.9
F11,28.73
F12,26.21
G01,NA
G02,NA
G03,NA
G04,NA
G05,NA
G06,NA
G07,NA
G08,NA
G09,NA
G10,NA
G11,NA
G12,NA
H01,NA
H02,NA
H03,NA
H04,NA
H05,NA
H06,NA
H07,NA
H08,NA
H09,NA
H10,NA
H11,NA
H12,NA
